date_from;date_to;User_ID;session_ID;Synthetic_3_6kW;Synthetic_7_2kW;Flex_3_6kW;Flex_7_2kW
21.12.2018 10:00;21.12.2018 11:00;AdO3-4;1;0,3;0,3;NA;0,06
21.12.2018 10:00;21.12.2018 11:00;AdO3-4;2;0,87;0,87;NA;0,114
21.12.2018 11:00;21.12.2018 12:00;AdO3-4;3;1,62;3,24;NA;NA
21.12.2018 12:00;21.12.2018 13:00;AdO3-4;3;3,6;7,2;NA;NA
21.12.2018 13:00;21.12.2018 14:00;AdO3-4;3;3,6;7,2;NA;NA
21.12.2018 14:00;21.12.2018 15:00;AdO3-4;3;3,6;7,2;NA;NA
21.12.2018 15:00;21.12.2018 16:00;AdO3-4;3;3,6;5,03;NA;2,17
21.12.2018 16:00;21.12.2018 17:00;AdO3-4;3;3,6;NA;NA;7,2
21.12.2018 17:00;21.12.2018 18:00;AdO3-4;3;3,6;NA;NA;7,2
21.12.2018 18:00;21.12.2018 19:00;AdO3-4;3;3,6;NA;NA;7,2
21.12.2018 19:00;21.12.2018 20:00;AdO3-4;3;3,05;NA;NA;5,518
21.12.2018 20:00;21.12.2018 21:00;NA;NA;NA;NA;NA;NA
21.12.2018 21:00;21.12.2018 22:00;NA;NA;NA;NA;NA;NA
21.12.2018 22:00;21.12.2018 23:00;NA;NA;NA;NA;NA;NA
21.12.2018 23:00;22.12.2018 00:00;NA;NA;NA;NA;NA;NA
22.12.2018 00:00;22.12.2018 01:00;NA;NA;NA;NA;NA;NA
22.12.2018 01:00;22.12.2018 02:00;NA;NA;NA;NA;NA;NA
22.12.2018 02:00;22.12.2018 03:00;NA;NA;NA;NA;NA;NA
22.12.2018 03:00;22.12.2018 04:00;NA;NA;NA;NA;NA;NA
22.12.2018 04:00;22.12.2018 05:00;NA;NA;NA;NA;NA;NA
22.12.2018 05:00;22.12.2018 06:00;NA;NA;NA;NA;NA;NA
22.12.2018 06:00;22.12.2018 07:00;NA;NA;NA;NA;NA;NA
22.12.2018 07:00;22.12.2018 08:00;NA;NA;NA;NA;NA;NA
22.12.2018 08:00;22.12.2018 09:00;NA;NA;NA;NA;NA;NA
22.12.2018 09:00;22.12.2018 10:00;NA;NA;NA;NA;NA;NA
22.12.2018 10:00;22.12.2018 11:00;NA;NA;NA;NA;NA;NA
22.12.2018 11:00;22.12.2018 12:00;NA;NA;NA;NA;NA;NA
22.12.2018 12:00;22.12.2018 13:00;NA;NA;NA;NA;NA;NA
22.12.2018 13:00;22.12.2018 14:00;NA;NA;NA;NA;NA;NA
22.12.2018 14:00;22.12.2018 15:00;NA;NA;NA;NA;NA;NA
22.12.2018 15:00;22.12.2018 16:00;NA;NA;NA;NA;NA;NA
22.12.2018 16:00;22.12.2018 17:00;AdO3-2;4;2,7;5,4;NA;NA
22.12.2018 17:00;22.12.2018 18:00;AdO3-2;4;3,6;7,2;NA;NA
22.12.2018 18:00;22.12.2018 19:00;AdO3-2;4;3,6;2,96;NA;4,24
22.12.2018 19:00;22.12.2018 20:00;AdO3-2;4;3,6;NA;NA;7,2
22.12.2018 20:00;22.12.2018 21:00;AdO3-2;4;2,06;NA;1,54;7,2
22.12.2018 21:00;22.12.2018 22:00;AdO3-2;4;NA;NA;3,6;7,2
22.12.2018 22:00;22.12.2018 23:00;AdO3-2;4;NA;NA;3,6;7,2
22.12.2018 23:00;23.12.2018 00:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 00:00;23.12.2018 01:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 01:00;23.12.2018 02:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 02:00;23.12.2018 03:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 03:00;23.12.2018 04:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 04:00;23.12.2018 05:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 05:00;23.12.2018 06:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 06:00;23.12.2018 07:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 07:00;23.12.2018 08:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 08:00;23.12.2018 09:00;AdO3-2;4;NA;NA;3,6;7,2
